24,2023/10/05 2:10:15 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,1 tiene una apariencia agradable a la vista pero también tiene una consistencia algo blanda en algunas zonas ,Se ve muy bien,Tiene un color muy intenso y llamativo que dan ganas de probarlo,No tiene mucho aroma para percibir,Es grumosa pero agradable la sensación en la boca,No la había probado y por su apariencia pensé que iba a tener un sabor más amargo ,Cosas que hago cotidianamente nada en específico.,Es muy rara pero dan ganas de seguir probandola,Color y consistencia
25,2023/10/05 2:12:55 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Muy importante,Nada importante,Poco importante,Muy importante,Importante,Importante,Poco importante,Bueno,Bueno ,No aplica,Dulce,"Suave, semilla pequeña ","Dulce, ligeramente amargo",El desayuno,Agrado,Estado fitosanitario 
26,2023/10/05 2:19:47 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Importante,Moderadamente importante,Moderadamente importante,Nada importante,Importante,Moderadamente importante,Poco importante,"Un poco inusual, extraña en la forma y el color ya que no se parece a nada lo que conozca ",Ya es un poco conocido en cuanto a la pepa y la pulpa ,"Me parece bien, me genera curiosidad, por lo rosado creo que me puede rentar más para probar pensando en algo dulce ",Pues no experimenté olor alguno a la hora de olerlo,"Me parece rara por las protuberancias, es dura","Es dulce, también la textura es suave, aguado y como gelatinoso",Cómo una gelatina ,"Es sensación de curiosidad por la forma principalmente y el color, el sabor es dulce y suave, un poco refrescante","Pues ya sabiendo como es, el tamaño pues tiene que ser mediano, color rosa, tiene que ser dentro de ella consistente pero gelatinoso "
27,2023/10/05 2:20:12 p. m. GMT-5,Pitahaya,Femenino,Moderadamente importante,Moderadamente importante,Importante,Muy importante,Muy importante,Muy importante,Importante,Muy importante,Buena,Buena,"El color es fucsia un poco luminoso el fruto, provoca un poco de desgasto",Amargo,Textura blanda,"Un poco dulce al inicio, después no tiene sabor",Me recuerda a la Pitaya de color amarillo,"Me conforta el sabor, es muy rico comerlo","La cobertura externa esta muy desgastada pero no hay presencia de golpes o alguna pudrición, sin embargo el sabor es suave al paladar"
28,2023/10/05 2:20:22 p. m. GMT-5,Pitahaya,Masculino,Moderadamente importante,Importante,Importante,Importante,Moderadamente importante,Importante,Muy importante,Poco importante,Agradable,Buena,Sin cascara,Poco olor,Rica,Sin dulce,Exotico,Placer,Madurez
29,2023/10/05 2:21:15 p. m. GMT-5,Pitahaya,Femenino,Importante,Importante,Muy importante,Muy importante,Moderadamente importante,Importante,Muy importante,Poco importante,Regular ,Blanda ,"Apariencia opaca, no se ve en excelente estado ",Muy suave ,Parece que no esta muy fresca ,Insipido ,Hojas,Esta viejita ,Frescura 
30,2023/10/05 2:21:38 p. m. GMT-5,Pitahaya,Masculino,Importante,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Importante,Nada importante,"Rosado, suave, blando",Se ve en buen estado,Color medio y el brillo poco,No tiene un olor específico.,Lisa. Se siente suave,No nada dulce. Un sabor muy simple,Ninguno,Ninguno,No es un producto que compre normalmente 
31,2023/10/05 2:24:34 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Importante,Importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,Buena,Tiene unas pocas magulladuras pero en general esta muy bien,El color es lo normal y tiene poco brillo ,No le siento aroma ,Es duro y la sensación es la normal,El sabor es un poco insípido ,Ninguna ,"Se ve bien, aunque el sabor no era el que esperaba ",Que no se vea magullado o con lesiones y que tenga cierta dureza y este tensa al espichar 
32,2023/10/05 2:27:40 p. m. GMT-5,Pitahaya,Masculino,Importante,Muy importante,Muy importante,Importante,Moderadamente importante,Muy importante,Muy importante,Moderadamente importante,Buena ,"Grande llamativo, sabrosa ","Curiosidad, muy llamativa",No presenta olor característico,Desagradable,"Insípido, poco dulce ",Ninguna ,"Insípida falta de ""alma""",Tamaño y frescura 
33,2023/10/05 2:31:00 p. m. GMT-5,Pitahaya,Femenino,Importante,Muy importante,Importante,Importante,Moderadamente importante,Muy importante,Importante,Poco importante,Algunos daños,Buen estado. Blanco con semillas negras,"Buen intensidad, sin tanto brillo. Se ve limpia. ",Huele a blanqueador,"Es duro, con bracteas",Sabe simple no me agrada,A campo,Me gusta su color y forma pero no me agrada su sabor,La firmeza del fruto y los daños que este tenga
34,2023/10/05 2:35:22 p. m. GMT-5,Pitahaya,Masculino,Muy importante,Importante,Importante,Importante,Moderadamente importante,Moderadamente importante,Muy importante,Poco importante,"Roja, bonita",Un poco moraditaun tris oxidada solo algunas,La cáscara es de rojo intenso,,Buena textura ,Esperaba un sabor más dulce,Cuando me lo daban de pequeño para el estreñimiento ,Curioso,Apariencia física más que todo
35,2023/10/05 2:35:30 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Poco importante,Firme ,"Me gusta, es blanco y suave","Me gusta el color, es intenso ",No me gusta el olor es como agrio ,"La textura me gusta pro las semillas, tiene esa parte crocante ","No me gusta el sabor, lo siento plano sin nada resaltable. ",Me recuerda a kiwi,"No me gustó el sabor, no lo encuentro agradable ","El precio, la madurez "
36,2023/10/05 2:39:11 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Moderadamente importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,Poco importante,"Buen color, buena firmeza y buen tamaño. ","No se observa el fruto ""magullado"", se ve de ",Color adecuado,No tiene aroma,Babosa ,Sabor insípido ,Nunca la había consumido ,No la compraría ,No lo compraría 
37,2023/10/05 2:39:17 p. m. GMT-5,Pitahaya,Femenino,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Importante,,Moderadamente importante,"Bueno, color intenso ","Buena, brillante","No tiene tanto brillo, colores fuertes y vibrantes ",No tiene un aroma distingible,"Muy suave, confortable ","No muy fuerte, suave, confortable ",Enfermedad estomacal ,Bastante fuerte ,"Frescura, color y textura "
38,2023/10/05 2:40:07 p. m. GMT-5,Pitahaya,Masculino,Importante,Importante,Importante,Importante,Moderadamente importante,Importante,Muy importante,Moderadamente importante,"Se ve un poco maltratada, tiene una capitãs un poco secas, da el efecto de no estar muy fresco",Está un poco morada y en algunos cortes se ve unos aros amarillos que acné pensar que el fruto no estaba en la mejor condición ,,,,"Es un sabor rico, sin embrago, me pareció  un poco simple",No me recuerda nada,"Se siente como algo bastante saludable y fresco, perfecto para unas onces","Que se vea bastante colorido, muy llamativo"
39,2023/10/05 2:40:16 p. m. GMT-5,Pitahaya,Femenino,Poco importante,Importante,Importante,Importante,Moderadamente importante,Importante,Muy importante,Poco importante,Rosada y con cafe,Medio aguado y con menos sabor que la amarilla,Muy brillante ,Huele a hojas,Viscoso y frescura ,Cómo a agua con un poco de azúcar ,Al agua ,Frescura ,Que este bonito y blandito para comer ya
40,2023/10/05 2:42:24 p. m. GMT-5,Pitahaya,Masculino,Poco importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Moderadamente importante,Roja gigante,Blanca al sabor un tanto biche,Es bastante brillante ,Un tanto aroma dulce,"Gelatinosa, bizcosa ",El sabor soso y me genera cierto placer ,Nada,Placer ,Que no esté muy madura 
41,2023/10/05 5:45:52 p. m. GMT-5,Pitahaya,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Moderadamente importante,"Color rojo, buena apariencia","Agradable, fresca, un color llamativo ",Color fuerte y opaco,"Sin aroma, bajo",Textura blanda y sensación de frescura,Sabor con sensación a rabano,Me recuerda un vegetal ,Desagradable,"Sanidad, tamaño, buena apariencia, madurez "
42,2023/10/05 1:38:58 p. m. GMT-5,Chontaduro,Masculino,¿Qué tan importante es para ti el color del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la apariencia del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el aroma del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti la textura y firmeza del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el tamaño del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el estado de madurez del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el precio en relación a la calidad del fruto al momento de comprarlos en el mercado?,¿Qué tan importante es para ti el origen del fruto al momento de comprarlos en el mercado?,Describe el estado general del fruto (Apariencia externa),Describe el estado general del fruto (Apariencia interna),Describe la intensidad de color y brillo de la cáscara (si aplica el brillo) y lo que te provoca al verlo,Describe el aroma del producto y lo que te produce el producto al momento de olerlo,Descripción de la textura del producto y la sensación que te provoca,Describe el sabor y lo que te provoca el sabor,¿Qué remembranza te provoca la fruta? (remembranza: recuerdos),¿Que sensación te provoca la fruta? (A nivel general),Describe que criterios tienes al momento de adquirir este producto en un lugar de mercado
43,2023/10/05 1:45:05 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,"Tiene un color muy marcado, atractivo","Se ve fresco, de buen aspecto","Intenso, pero poco brillante",Inoloro,"Firme, robusto","Curioso, es mi primera vez probandolo","Poca la verdad, casi no tengo interacción con el fruto",Curiosidad. Expectativa,"Color, firmeza, referencias"
44,2023/10/05 1:48:54 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Importante,Poco importante,Poco importante,Importante,Muy importante,Moderadamente importante,Importante,Pequeño un poco duro de color opaco ,Color amarillo quemado mate con poco brillo ,Amarillo quemado opaco ,Oler maderoso ,Liso medio duro ,Sabor seco insípido sin sal ,Ninguno,Poco agradable ,Su madurez y que sea poco blando
45,2023/10/05 1:49:22 p. m. GMT-5,Chontaduro,Femenino,Importante,Importante,Importante,Moderadamente importante,Importante,Importante,Muy importante,Moderadamente importante,Se ve pequeño ,Se ve seco,Color apagado,Feo,"
Sensación fea",Sabe feo,Ninguna,No me apetece ,No lo compro
46,2023/10/05 1:49:40 p. m. GMT-5,Chontaduro,Femenino,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Poco importante,Importante,Firme naranja ,Deshojando ,  Color alto brilloso,Salado, Algodonosa,Salado,Suero,Incómodo , Color sin magilladura
47,2023/10/05 1:49:42 p. m. GMT-5,Chontaduro,Masculino,Importante,Muy importante,Importante,Muy importante,Importante,Muy importante,Muy importante,Moderadamente importante,Maduro. No se ve tan bien. ,Buena textura y sabor simple,Bastante brillo y color,Huele a nevera. ,Recuerdos de mi cali. Ojalá tuvieran miel.,Q está pasada así que no me gustó ,Me acuerdo de ir caminando en la calle en cali,Tiene buena tactura mala apariencia por fuera por dentro está bien de textura y sabor simple,Madurez. Precio calidad. Origen. 
48,2023/10/05 1:51:53 p. m. GMT-5,Chontaduro,Femenino,Importante,Importante,Poco importante,Poco importante,Poco importante,Moderadamente importante,Importante,Importante,"Bien, poco deforme, con poca intensidad del color. ","Bien, sin daños ","Alta, me genera un poco de riesgo ","Básico, neutro, desconocido ","Firme, fortaleza ","Básico, tropical, Pacífico. Raizal ",Viaje al pacifico ,Cultura del Pacífico ,Ninguno 
49,2023/10/05 1:52:23 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Importante,Moderadamente importante,Importante,Poco importante,Moderadamente importante,Importante,Poco importante,"Pequeña liso , como no uniforme ","Naranja intenso similar a trompo , variedad de intensidad de colores ","Opaco 
Me provoca comer la semilla sabe a coco",Aroma  salsa dulce,"Rugosa
Sensación particular ","Seco consistencia firmé 
Simple 
La semilla rica ","Fruta favorita de mi mamá, recuerdo su alto consumo hace que las palmas de las manos se pongan naranjas ","No es fruta totalmente agradable en seco , en jugo con aditivos como miel y tarrito rojo sabe mejor ",Color y firmeza 
50,2023/10/05 1:53:55 p. m. GMT-5,Chontaduro,Femenino,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Importante,No es muy lindo,Poco color ,Color no muy agradable ,,Desagradable ,Fuerte y feo ,Ninguna nunca lo había probado ,No me gustó ,Nivel de madurez 
51,2023/10/05 1:57:11 p. m. GMT-5,Chontaduro,Masculino,Importante,Importante,Importante,Importante,Importante,Importante,Importante,Importante,No  es tan llamativo ,Es endurecida,Tiene un color llamativo ,Un oler dulce ,No me gusta ,"Horrible, saber feo. ",Nunca había probado algo tan feo ,Es desagradable ,
52,2023/10/05 1:57:29 p. m. GMT-5,Chontaduro,Masculino,Poco importante,Moderadamente importante,Moderadamente importante,Importante,Moderadamente importante,Importante,Moderadamente importante,Nada importante,"Medianamente sano, colores apagados y corola seca","Fibroso, sano con buen color ",Poco brillo con heridas ,Inholoro ,"Fibrosa seca, me da sed ","Sabe parecido a yuca dulce, no me provoca ",Un viaje en familia que paramos a comer en la carretera ,Es muy seca,Que se vean sanos y de buen color 
53,2023/10/05 1:57:32 p. m. GMT-5,Chontaduro,Femenino,Poco importante,Poco importante,Moderadamente importante,Importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,"color cobrizo, con algunas rajaduras, muy firme al tacto ",color naranja intenso muy uniforme y firme al tacto ,"el color es un cobrizo opaco, sin embargo refleja muy bien la luz y tiene un brillo agradable a la vista, llamativo ","un aroma muy fuerte, un poco desagradable a mi gusto","firme, fibrosa, difícil de masticar ","un sabor muy fuerte, amargo y marcado","a mí familia, ellos aman el chontaduro ",desagrado,la firmeza y el color
54,2023/10/05 1:57:51 p. m. GMT-5,Chontaduro,Masculino,Importante,Moderadamente importante,Nada importante,Moderadamente importante,Poco importante,Importante,Importante,Poco importante,Bueno,Apetecible,"Brillante moderadamente, nada","Feo, disgusto","Duro, desagradable","Duro, desagradable",La plaza de mercado los domingos,Disgusto,El tamaño
55,2023/10/05 2:01:09 p. m. GMT-5,Chontaduro,Masculino,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Moderadamente importante,Importante,Muy importante,Poco importante,En buen estado,Buen estado,Opaco tieando a oscuro,Olor a fresco,Arenosa,Llenura por lo seco ,Viajes al valle del cauca,Alimento nutritivo,La higiene y el precio
56,2023/10/05 2:01:29 p. m. GMT-5,Chontaduro,Masculino,,Muy importante,Poco importante,Muy importante,Importante,Muy importante,Importante,Poco importante,Bien ,Bien ,"Apariencia poco brillante , opaco ",Huele a maíz o a harina de trigo ,Resequedad ,A envuelto ,A comer envuelto ,Arenoso ,"Tamaño, color si está golpeado aspectos comunes en las frutas "
57,2023/10/05 2:02:01 p. m. GMT-5,Chontaduro,Femenino,Importante,Moderadamente importante,Nada importante,Moderadamente importante,Poco importante,Importante,Muy importante,Moderadamente importante,Parece un tomate pequeño ,Parece una panela,Es opaco ,No tengo sentido del olfato ,Es un poco aspero,Me causa sed pero le gustó ,No recuerdo a qué pero si es un sabor familiar ,Buena ,La cáscara no parece importar 
58,2023/10/05 2:03:40 p. m. GMT-5,Chontaduro,Femenino,Poco importante,Importante,Importante,Moderadamente importante,Poco importante,Poco importante,Poco importante,Poco importante,Luce bien,Luce bien,No se ve tan brillante,No es agradable,Duro,No me gusta,Los vendedores ambulantes ,"No me gusta, como seco",Sabor 
59,2023/10/05 2:04:46 p. m. GMT-5,Chontaduro,Femenino,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Es bastante llamativo por su color pero su nombre es feo,Esta muy duro y rayado,Es un color poco llamativo y opaco,Huele a salsa y acido,Se nota que tiene una cascara gruesa,Es dulce y rico,Me da malos recuerdos por su textura,Ds poco provocativa por su textura,Que sea grande y que huela bien
60,2023/10/05 2:06:23 p. m. GMT-5,Chontaduro,Masculino,Nada importante,Nada importante,Nada importante,Nada importante,Nada importante,Nada importante,Nada importante,Nada importante,"Es una fruta firme, con un color poco llamativo, opaco, no es muy apetecible para mí ","No me gusta, entonces no lo probé ","Muy opaco, no tiene brillo, no es un color llamativo.","No me agrada, me da sensación de poca inocuidad ",Ninguna,"No me gusta, lo probé una vez fuera de la universidad y me genero como impaciencia por ser tan seco",Ninguno,Ninguna,No puedo opinar
61,2023/10/05 2:06:55 p. m. GMT-5,Chontaduro,Masculino,Importante,Importante,Importante,Importante,Poco importante,Importante,Importante,Importante,Muy importante por lo que provoca ,Que la textura no sea blanda ,Probarlo,Olerlo,Sensación de frescura ,Saborearlo,Campo,Adquirirlo y también recomendarlo ,El estado del fruto 
